dsid	srr	movie	insert	relpath	bytes	md5	ena_path	reads	bases	mean_len
HG001.PacBio_SequelII_CCS_11kb	SRR9001770	m64011_190326_191011	11kb	sra/PRJNA540705/HG001/m64011_190326_191011.fastq.gz	11505694108	4b823bef83565e5c1e749cd6f9c9c43f	vol1/fastq/SRR900/000/SRR9001770/SRR9001770_subreads.fastq.gz	1514389	15038544676	9930
HG001.PacBio_SequelII_CCS_11kb	SRR9001771	m64011_190329_072846	11kb	sra/PRJNA540705/HG001/m64011_190329_072846.fastq.gz	9990606627	c38619519964a41b4681708b97bc2518	vol1/fastq/SRR900/001/SRR9001771/SRR9001771_subreads.fastq.gz	1292449	12844094983	9938
HG001.PacBio_SequelII_CCS_11kb	SRR9001772	m64013_190322_203854	11kb	sra/PRJNA540705/HG001/m64013_190322_203854.fastq.gz	11425030261	78434da3d75cea10e22672e58fc236a8	vol1/fastq/SRR900/002/SRR9001772/SRR9001772_subreads.fastq.gz	1564165	15532206337	9930
HG001.PacBio_SequelII_CCS_11kb	SRR9001773	m64013_190324_024932	11kb	sra/PRJNA540705/HG001/m64013_190324_024932.fastq.gz	13354233618	8b5114ca9e99aebfc4bc16908a119ddc	vol1/fastq/SRR900/003/SRR9001773/SRR9001773_subreads.fastq.gz	1756361	17451744154	9936
HG001.PacBio_SequelII_CCS_11kb	SRR9001768	m64013_190410_223304	9kb	sra/PRJNA540705/HG001/m64013_190410_223304.fastq.gz	11258667414	16227a898e56d662dda1ce81d1c07e5b	vol1/fastq/SRR900/008/SRR9001768/SRR9001768_subreads.fastq.gz	1436433	14398407180	10024
HG001.PacBio_SequelII_CCS_11kb	SRR9001769	m64013_190412_043951	9kb	sra/PRJNA540705/HG001/m64013_190412_043951.fastq.gz	11810851188	cbdc9b4c2e2a9aea265dd6c274b609a1	vol1/fastq/SRR900/009/SRR9001769/SRR9001769_subreads.fastq.gz	1518241	15221015164	10025
HG005.PacBio_SequelII_CCS_11kb	SRR9001778	m64011_190322_203904	11kb	sra/PRJNA540706/HG005/m64011_190322_203904.fastq.gz	13221908088	04edd9010080a1df1e094378f8c3535d	vol1/fastq/SRR900/008/SRR9001778/SRR9001778_subreads.fastq.gz	1664309	17354558906	10427
HG005.PacBio_SequelII_CCS_11kb	SRR9001779	m64011_190324_024600	11kb	sra/PRJNA540706/HG005/m64011_190324_024600.fastq.gz	14288073256	6bfb7bbe4cfeaf56704c56abb848aecc	vol1/fastq/SRR900/009/SRR9001779/SRR9001779_subreads.fastq.gz	1787191	18633956860	10426
HG005.PacBio_SequelII_CCS_11kb	SRR9001774	m64011_190410_223303	9kb	sra/PRJNA540706/HG005/m64011_190410_223303.fastq.gz	12126829605	e2e6f4627fd65a7eabfe311a03d1a87e	vol1/fastq/SRR900/004/SRR9001774/SRR9001774_subreads.fastq.gz	1483659	15462584555	10422
HG005.PacBio_SequelII_CCS_11kb	SRR9001775	m64011_190412_044021	9kb	sra/PRJNA540706/HG005/m64011_190412_044021.fastq.gz	10535850583	06c2086e7c28a1a80bfcd865f5ff9184	vol1/fastq/SRR900/005/SRR9001775/SRR9001775_subreads.fastq.gz	1271657	13253237789	10422
HG005.PacBio_SequelII_CCS_11kb	SRR9001776	m64013_190325_224842	11kb	sra/PRJNA540706/HG005/m64013_190325_224842.fastq.gz	13328104058	20bb7f10af6825b8e971b86114e91129	vol1/fastq/SRR900/006/SRR9001776/SRR9001776_subreads.fastq.gz	1668888	17400403745	10426
HG005.PacBio_SequelII_CCS_11kb	SRR9001777	m64013_190327_045517	11kb	sra/PRJNA540706/HG005/m64013_190327_045517.fastq.gz	12366892377	8e2d9f10e36c4e6a62819dd5d979d2db	vol1/fastq/SRR900/007/SRR9001777/SRR9001777_subreads.fastq.gz	1554425	16190654258	10416
