label,source,hgid,platform,set,sample
gd001-HG002,gd,HG002,NA(gd001),G000-gd1-20260819,C000000100100000G0x1
gd001-HG003,gd,HG003,NA(gd001),G000-gd1-20260819,C000000100200000G0x1
gd001-HG004,gd,HG004,NA(gd001),G000-gd1-20260819,C000000100300000G0x1
gd002-HG002,gd,HG002,NA(gd002),G000-gd2-20260819,C000000200100000G0x1
gd002-HG003,gd,HG003,NA(gd002),G000-gd2-20260819,C000000200200000G0x1
gd002-HG004,gd,HG004,NA(gd002),G000-gd2-20260819,C000000200300000G0x1
gd003-HG002,gd,HG002,NA(gd003),G000-gd3-20260819,C000000300100000G0x1
gd003-HG003,gd,HG003,NA(gd003),G000-gd3-20260819,C000000300200000G0x1
gd003-HG004,gd,HG004,NA(gd003),G000-gd3-20260819,C000000300300000G0x1
gd004-HG002,gd,HG002,NA(gd004),G000-gd4-20260819,C000000400100000G0x1
gd004-HG003,gd,HG003,NA(gd004),G000-gd4-20260819,C000000400200000G0x1
gd004-HG004,gd,HG004,NA(gd004),G000-gd4-20260819,C000000400300000G0x1
public-NovaSeq6000-30x-HG002,public,HG002,NovaSeq6000_PCRfree_30x,GIAB-publicData-Novaseq6000-PCRfree-30x,GIAB-publicData-Novaseq6000-PCRfree-30x-HG002
public-NovaSeq6000-30x-HG003,public,HG003,NovaSeq6000_PCRfree_30x,GIAB-publicData-Novaseq6000-PCRfree-30x,GIAB-publicData-Novaseq6000-PCRfree-30x-HG003
public-NovaSeq6000-30x-HG004,public,HG004,NovaSeq6000_PCRfree_30x,GIAB-publicData-Novaseq6000-PCRfree-30x,GIAB-publicData-Novaseq6000-PCRfree-30x-HG004
public-NovaSeqX-30x-HG002,public,HG002,NovaSeqX_30x,GIAB-publicData-NovaseqX-30x,GIAB-publicData-NovaseqX-30x-HG002
