# generated by scripts/make_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG002,NIST_BGIseq_2x150_100x,V350038332.L01.bc606,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-606_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-606_2.fq.gz,30570338835
HG002,NIST_BGIseq_2x150_100x,V350038332.L01.bc607,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-607_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-607_2.fq.gz,22104420499
HG002,NIST_BGIseq_2x150_100x,V350038332.L01.bc608,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-608_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-608_2.fq.gz,16421554234
HG002,NIST_BGIseq_2x150_100x,V350038332.L01.bc609,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-609_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-609_2.fq.gz,22849420559
HG002,NIST_BGIseq_2x150_100x,V350038332.L01.bc610,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-610_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L01_HUMuarfR092940-610_2.fq.gz,22061227443
HG002,NIST_BGIseq_2x150_100x,V350038332.L02.bc606,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-606_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-606_2.fq.gz,30115930036
HG002,NIST_BGIseq_2x150_100x,V350038332.L02.bc607,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-607_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-607_2.fq.gz,21798525084
HG002,NIST_BGIseq_2x150_100x,V350038332.L02.bc608,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-608_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-608_2.fq.gz,16174352309
HG002,NIST_BGIseq_2x150_100x,V350038332.L02.bc609,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-609_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-609_2.fq.gz,22549541414
HG002,NIST_BGIseq_2x150_100x,V350038332.L02.bc610,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-610_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L02_HUMuarfR092940-610_2.fq.gz,21814536368
HG002,NIST_BGIseq_2x150_100x,V350038332.L03.bc606,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-606_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-606_2.fq.gz,32486901248
HG002,NIST_BGIseq_2x150_100x,V350038332.L03.bc607,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-607_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-607_2.fq.gz,23503149977
HG002,NIST_BGIseq_2x150_100x,V350038332.L03.bc608,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-608_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-608_2.fq.gz,17549165781
HG002,NIST_BGIseq_2x150_100x,V350038332.L03.bc609,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-609_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-609_2.fq.gz,24417467690
HG002,NIST_BGIseq_2x150_100x,V350038332.L03.bc610,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-610_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG002_NA24385_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L03_HUMuarfR092940-610_2.fq.gz,23478463653
