# generated by scripts/make_more_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG005,NIST_BGIseq_2x150_100x,211109_M024_V350038332_L04_HUMuarfR092941-611,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-611_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-611_2.fq.gz,27486024182
HG005,NIST_BGIseq_2x150_100x,211109_M024_V350038332_L04_HUMuarfR092941-612,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-612_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-612_2.fq.gz,24328969962
HG005,NIST_BGIseq_2x150_100x,211109_M024_V350038332_L04_HUMuarfR092941-613,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-613_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-613_2.fq.gz,21803617091
HG005,NIST_BGIseq_2x150_100x,211109_M024_V350038332_L04_HUMuarfR092941-614,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-614_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-614_2.fq.gz,25331808518
HG005,NIST_BGIseq_2x150_100x,211109_M024_V350038332_L04_HUMuarfR092941-615,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-615_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M024_V350038332_L04_HUMuarfR092941-615_2.fq.gz,25749728497
HG005,NIST_BGIseq_2x150_100x,211109_M025_V350038580_L01_HUMuarfR092941-611,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-611_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-611_2.fq.gz,23444253591
HG005,NIST_BGIseq_2x150_100x,211109_M025_V350038580_L01_HUMuarfR092941-612,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-612_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-612_2.fq.gz,20576055181
HG005,NIST_BGIseq_2x150_100x,211109_M025_V350038580_L01_HUMuarfR092941-613,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-613_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-613_2.fq.gz,18546874881
HG005,NIST_BGIseq_2x150_100x,211109_M025_V350038580_L01_HUMuarfR092941-614,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-614_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-614_2.fq.gz,21655635705
HG005,NIST_BGIseq_2x150_100x,211109_M025_V350038580_L01_HUMuarfR092941-615,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-615_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG005_NA24631_son/NIST_BGIseq_2x150bp_100x/reads/211109_M025_V350038580_L01_HUMuarfR092941-615_2.fq.gz,22040554183
