# generated by scripts/make_more_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L001_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L001_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L001_001.R2.fastq.gz,18454379865
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L002_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L002_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L002_001.R2.fastq.gz,17876396565
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L003_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L003_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L003_001.R2.fastq.gz,18535751852
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L004_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L004_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HJVY2DSX7_L004_001.R2.fastq.gz,17467596032
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L001_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L001_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L001_001.R2.fastq.gz,22510157777
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L002_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L002_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L002_001.R2.fastq.gz,22076572791
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L003_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L003_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L003_001.R2.fastq.gz,22226968390
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L004_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L004_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HK25HDSX7_L004_001.R2.fastq.gz,22294045046
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L001_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L001_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L001_001.R2.fastq.gz,16904972577
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L002_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L002_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L002_001.R2.fastq.gz,15636595036
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L003_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L003_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L003_001.R2.fastq.gz,16990066381
HG008-T,NYGC_Illumina_2023,NYGC_Illumina-WGS_20231023.HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L004_001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L004_001.R1.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/HG008-T_TTCCTGTT-AAGATACT_HKGTGDSX7_L004_001.R2.fastq.gz,16869096103
