dsid	sample	dataset	entry	status	cov	mapped_pct	err_rate	avg_len	n_reads	avg_qual	dv_snp	dv_indel	dv_tstv	dv_records	c3_snp	c3_indel	c3_tstv	c3_records	sv_records	wh_het	wh_phased	wh_phased_pct	wh_blocks	wh_n50	multiqc	flags
HG001.HudsonAlpha_PacBio_CCS	HG001	HudsonAlpha_PacBio_CCS	hifi_fastq	done	24.68	99.93367082362516	0.01501835	17435.0	4442992.0	75.6	6742406.0	3023098.0	1.34	9754476.0	4375470.0	968184.0	1.88	5335265.0	53809.0	3842598.0	2934194.0	76.3596400143861	12849.0	360070.0	ok	SNP6.74M / INDEL3023k / ts/tv1.34 / caller불일치(DV 6.74M vs C3 4.38M) / 위상76%
HG001.PacBio_CCS_15kb_20kb_chemistry2	HG001	PacBio_CCS_15kb_20kb_chemistry2	hifi_bam	done	25.87	99.92962445501601	0.01541597	17539.0	4630870.0	74.8	6772389.0	3068802.0	1.33	9829969.0	4385029.0	967877.0	1.87	5344468.0	54048.0	3849250.0	2935392.0	76.25880366305124	12306.0	380746.0	ok	SNP6.77M / INDEL3069k / ts/tv1.33 / caller불일치(DV 6.77M vs C3 4.39M) / 위상76%
HG001.PacBio_SequelII_CCS_11kb	HG001	PacBio_SequelII_CCS_11kb	hifi_fastq	done	28.9	99.91856453364322	0.01107107	9963.0	9082038.0	79.5	6400491.0	2093301.0	1.39	8483820.0	4326141.0	960821.0	1.89	5278902.0	53188.0	3726646.0	2926110.0	78.51859285802837	29098.0	94318.0	ok	SNP6.40M / INDEL2093k / ts/tv1.39 / caller불일치(DV 6.40M vs C3 4.33M) / 위상79%
HG002.PacBio_CCS_10kb	HG002	PacBio_CCS_10kb	hifi_fastq	done	28.3	99.91445986420153	0.01088126	9567.0	9270502.0	79.0	6366443.0	2922788.0	1.4	9278339.0	4351294.0	984190.0	1.88	5327190.0	53399.0	3783489.0	2895765.0	76.53689491366302	29154.0	92022.0	ok	SNP6.37M / INDEL2923k / ts/tv1.40 / caller불일치(DV 6.37M vs C3 4.35M) / 위상77%
HG002.PacBio_CCS_15kb	HG002	PacBio_CCS_15kb	hifi_fastq	done	28.36	99.85129132981555	0.01357973	13478.0	6610240.0	77.6	6557183.0	4092530.0	1.37	10638470.0	4378641.0	1024305.0	1.87	5394654.0	53686.0	3885144.0	2913486.0	74.99042506532577	18840.0	209340.0	ok	SNP6.56M / INDEL4093k / ts/tv1.37 / caller불일치(DV 6.56M vs C3 4.38M) / 위상75%
HG002.PacBio_CCS_15kb_20kb_chemistry2	HG002	PacBio_CCS_15kb_20kb_chemistry2	hifi_fastq	done	52.96	99.91498638365103	0.01295457	14189.0	11714594.0	81.0	6793764.0	1706541.0	1.34	8490602.0	4404333.0	967898.0	1.86	5364276.0	53936.0	3763218.0	2910989.0	77.35371695182155	12763.0	325837.0	ok	SNP6.79M / INDEL1707k / ts/tv1.34 / caller불일치(DV 6.79M vs C3 4.40M) / 위상77%
HG002.PacBio_HiFi-Revio_20231031	HG002	PacBio_HiFi-Revio_20231031	hifi_bam	done	48.07	99.96752572365709	0.0112966	16654.0	9031764.0	37.7	6927745.0	1866139.0	1.32	8783979.0	4387356.0	980363.0	1.87	5359878.0	53966.0	3809274.0	2906752.0	76.3072438475153	8491.0	552839.0	ok	SNP6.93M / INDEL1866k / ts/tv1.32 / caller불일치(DV 6.93M vs C3 4.39M) / 위상76%
HG002.PacBio_SequelII_CCS_11kb	HG002	PacBio_SequelII_CCS_11kb	hifi_fastq	done	31.82	99.7708794712887	0.01139003	11237.0	8892263.0	79.5	6449614.0	1863511.0	1.39	8303262.0	4356335.0	967267.0	1.88	5315506.0	53820.0	3717114.0	2904765.0	78.1457065884985	23765.0	122353.0	ok	SNP6.45M / INDEL1864k / ts/tv1.39 / caller불일치(DV 6.45M vs C3 4.36M) / 위상78%
HG003.PacBio_CCS_15kb_20kb_chemistry2	HG003	PacBio_CCS_15kb_20kb_chemistry2	hifi_fastq	done	41.26	99.88147376988536	0.01324674	15371.0	8425983.0	80.6	6676629.0	1954456.0	1.35	8621175.0	4389819.0	964554.0	1.86	5346427.0	53545.0	3725907.0	2874287.0	77.14328350117167	13025.0	312456.0	ok	SNP6.68M / INDEL1954k / ts/tv1.35 / caller불일치(DV 6.68M vs C3 4.39M) / 위상77%
HG003.PacBio_CCS_Google_15kb	HG003	PacBio_CCS_Google_15kb	hifi_fastq	done	20.91	99.89800651020265	0.0132773	15497.0	4234584.0	82.3	6312745.0	2705236.0	1.4	9007832.0	4348917.0	966478.0	1.88	5307276.0	52706.0	3678474.0	2870443.0	78.03352694622825	16522.0	216152.0	ok	SNP6.31M / INDEL2705k / ts/tv1.40 / caller불일치(DV 6.31M vs C3 4.35M) / 위상78%
HG003.PacBio_CCS_HudsonAlpha_14kb_15kb_19kb	HG003	PacBio_CCS_HudsonAlpha_14kb_15kb_19kb	hifi_fastq	done	41.26	99.88147376988536	0.01324674	15371.0	8425983.0	80.6	6676623.0	1954454.0	1.35	8621167.0	4389811.0	964553.0	1.86	5346418.0	53543.0	3725941.0	2874331.0	77.14376046212219	13026.0	312511.0	ok	SNP6.68M / INDEL1954k / ts/tv1.35 / caller불일치(DV 6.68M vs C3 4.39M) / 위상77%
HG003.PacBio_HiFi-Revio_20231031	HG003	PacBio_HiFi-Revio_20231031	hifi_bam	done	46.29	99.9726458911104	0.01083949	16270.0	8894459.0	37.6	6827094.0	1897369.0	1.33	8714551.0	4364098.0	970847.0	1.87	5327125.0	53446.0	3755577.0	2863639.0	76.25030720978428	9763.0	468487.0	ok	SNP6.83M / INDEL1897k / ts/tv1.33 / caller불일치(DV 6.83M vs C3 4.36M) / 위상76%
HG004.PacBio_CCS_15kb_20kb_chemistry2	HG004	PacBio_CCS_15kb_20kb_chemistry2	hifi_bam	done	41.47	99.94619342477252	0.01317023	17321.0	7500942.0	77.6	7034286.0	2189468.0	1.31	9213616.0	4461843.0	973014.0	1.86	5426966.0	54218.0	3939137.0	3028300.0	76.87724493969111	10644.0	445210.0	ok	SNP7.03M / INDEL2189k / ts/tv1.31 / caller불일치(DV 7.03M vs C3 4.46M) / 위상77%
HG004.PacBio_CCS_Google_15kb	HG004	PacBio_CCS_Google_15kb	hifi_fastq	done	20.67	99.94571105308546	0.01139929	14129.0	4579201.0	83.1	6429802.0	2309147.0	1.39	8729081.0	4399833.0	972332.0	1.89	5364053.0	53062.0	3806931.0	3003079.0	78.884513535969	18872.0	208696.0	ok	SNP6.43M / INDEL2309k / ts/tv1.39 / caller불일치(DV 6.43M vs C3 4.40M) / 위상79%
HG004.PacBio_CCS_HudsonAlpha_15kb_21kb	HG004	PacBio_CCS_HudsonAlpha_15kb_21kb	hifi_fastq	done	39.54	99.95003023532863	0.01279999	17243.0	7180342.0	78.4	6985522.0	2156103.0	1.32	9131516.0	4461137.0	973130.0	1.86	5426359.0	54091.0	3928440.0	3024232.0	76.98302634124487	11139.0	424076.0	ok	SNP6.99M / INDEL2156k / ts/tv1.32 / caller불일치(DV 6.99M vs C3 4.46M) / 위상77%
HG004.PacBio_HiFi-Revio_20231031	HG004	PacBio_HiFi-Revio_20231031	hifi_bam	done	35.69	99.97187123487002	0.01092002	16006.0	6964401.0	37.8	6969341.0	2144231.0	1.32	9103854.0	4412717.0	968022.0	1.88	5373121.0	53885.0	3913323.0	3012020.0	76.9683463389043	10466.0	461431.0	ok	SNP6.97M / INDEL2144k / ts/tv1.32 / caller불일치(DV 6.97M vs C3 4.41M) / 위상77%
HG005.HudsonAlpha_PacBio_CCS	HG005	HudsonAlpha_PacBio_CCS	hifi_fastq	done	46.24	99.92715042432073	0.01518611	16990.0	8554614.0	77.5	6814362.0	2021067.0	1.33	8825328.0	4383449.0	964785.0	1.85	5340256.0	54053.0	3596823.0	2705790.0	75.22722135618017	14337.0	243766.0	ok	SNP6.81M / INDEL2021k / ts/tv1.33 / caller불일치(DV 6.81M vs C3 4.38M) / 위상75%
HG005.PacBio_CCS_15kb_20kb_chemistry2	HG005	PacBio_CCS_15kb_20kb_chemistry2	hifi_bam	done	47.91	99.92000983243071	0.015515	17021.0	8852338.0	76.8	6836650.0	2042278.0	1.33	8868716.0	4382955.0	964621.0	1.85	5339594.0	54150.0	3608444.0	2707118.0	75.02175452909897	14276.0	249411.0	ok	SNP6.84M / INDEL2042k / ts/tv1.33 / caller불일치(DV 6.84M vs C3 4.38M) / 위상75%
HG005.PacBio_SequelII_CCS_11kb	HG005	PacBio_SequelII_CCS_11kb	hifi_fastq	done	31.34	99.92431704804886	0.01168954	10424.0	9430129.0	79.2	6354869.0	2277273.0	1.39	8622317.0	4313304.0	962317.0	1.88	5267606.0	53314.0	3499443.0	2691382.0	76.90886806843261	28410.0	62637.0	ok	SNP6.35M / INDEL2277k / ts/tv1.39 / caller불일치(DV 6.35M vs C3 4.31M) / 위상77%
HG006.PacBio_CCS_15kb_20kb_chemistry2	HG006	PacBio_CCS_15kb_20kb_chemistry2	hifi_fastq	done	38.91	99.87806885964672	0.01345831	16314.0	7488653.0	79.7	6799951.0	1987266.0	1.32	8777321.0	4364168.0	959421.0	1.85	5315785.0	53390.0	3529123.0	2666941.0	75.56951117883962	13304.0	259164.0	ok	SNP6.80M / INDEL1987k / ts/tv1.32 / caller불일치(DV 6.80M vs C3 4.36M) / 위상76%
